0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0.1000	0.1149	0.1623	0.1876	0.2084	0.3355	
0.2000	0.2298	0.3247	0.2796	0.3097	0.4170	
0.3000	0.3447	0.4870	0.4194	0.4454	0.5747	
0.4000	0.4596	0.6059	0.5204	0.5939	0.6957	
0.5000	0.5745	0.7226	0.6129	0.7348	0.7315	
0.6000	0.6894	0.8077	0.7443	0.8222	0.7707	
0.7200	0.8273	0.8825	0.8850	0.9065	0.8153	
0.8200	0.9422	0.9355	0.9852	0.9367	0.8574	
0.9200	1.0571	0.9722	1.0276	0.9763	0.8944	
1.0200	1.1721	0.9580	1.0197	1.0060	0.9295	
1.1400	1.3099	1.0005	1.0852	1.0366	0.9721	
